iter	Passed	Remaining
1643	4472	17292
1644	4476	17291
1645	4478	17289
1646	4481	17284
1647	4483	17281
1648	4486	17278
1649	4488	17275
1650	4491	17274
1651	4494	17270
1652	4497	17269
1653	4500	17266
1654	4502	17263
1655	4505	17261
1656	4507	17256
1657	4510	17253
1658	4513	17250
1659	4515	17247
1660	4518	17246
1661	4521	17243
1662	4524	17240
1663	4526	17236
1664	4528	17231
1665	4531	17229
1666	4535	17230
1667	4538	17227
1668	4540	17224
1669	4543	17221
1670	4545	17217
1671	4548	17216
1672	4551	17213
1673	4554	17210
1674	4556	17206
1675	4559	17203
1676	4561	17199
1677	4564	17198
1678	4567	17195
1679	4569	17191
1680	4572	17189
1681	4575	17186
1682	4578	17183
1683	4580	17180
1684	4583	17177
1685	4585	17173
1686	4588	17170
1687	4590	17167
1688	4593	17164
1689	4596	17162
1690	4599	17159
1691	4601	17154
1692	4603	17151
1693	4606	17148
1694	4609	17147
1695	4612	17143
1696	4614	17140
1697	4617	17136
1698	4620	17134
